c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
2.884700593581361e-12,3.236711779326345e-12,7.518693303651307e-07,6.03105042816181e-07,7.09656451329952e-07,1.3673412455872217e-06,7.376133685254675e-07,1.276231694372448e-06,1.2066219256849261e-06,8.723323874037735e-07,8.24972528106235e-06,1.078403434397878e-06,4.223858819116804e-05,1.8606025747724683e-05,2.084297152745634e-06,8.005538999476886e-06,6.643362607866769e-05,0.00012564397993779396
2.4032056617595616e-12,4.433457507100194e-12,8.445733026299385e-07,1.0608475441221616e-06,8.020796372701196e-07,1.164524117225319e-06,1.4382076062300822e-06,1.3032249741811497e-06,8.610093154701431e-07,9.65225489935291e-07,1.0689516252540709e-05,9.033715681183852e-07,5.457454949284124e-05,2.402231282338716e-05,3.5440071962273493e-06,1.298850337511974e-05,2.611877825076911e-05,9.324523981305191e-05
5.362258537782471e-12,2.891633322559292e-12,4.167026517190143e-07,4.5448454669482494e-07,1.8101288203111882e-06,1.240756182933485e-06,1.2495455586497864e-06,8.556715737126919e-07,5.214313270440121e-07,6.918926993338508e-07,7.34867286391066e-06,1.3736483928084439e-06,6.872394206068596e-05,3.475044781916086e-05,3.914940644181044e-06,5.290567465732799e-06,2.6914965627356006e-05,6.0213115194176674e-05
5.994042827879476e-12,3.5192958680166854e-12,7.024726837667162e-07,8.351374943783409e-07,9.827860259620121e-07,1.4811490976763747e-06,9.23994652882739e-07,9.988478578262024e-07,1.127636606899606e-06,6.381697592238943e-07,1.0186000250433053e-05,2.2153346930101807e-06,5.1087061941708457e-05,2.0063903599209495e-05,3.4742790169063854e-06,9.317798215543775e-06,3.497035815082905e-05,7.3437939188164e-05
6.743906476911906e-12,3.781758163926007e-12,4.6761783836858935e-07,7.81668418418437e-07,1.135684982519662e-06,2.31544078581393e-06,6.791724116291643e-07,7.561554013468326e-07,1.083273749178006e-06,5.982836005822785e-07,4.520725798554148e-06,9.791003434881652e-07,8.244971672163146e-05,1.9538128126311334e-05,2.0717456874475703e-06,1.1325033079133661e-05,6.724839997029604e-05,6.640981338929032e-05
4.217990307851361e-12,3.706608241450698e-12,5.45190122899154e-07,6.169553811228215e-07,1.2088579855750684e-06,1.8191736042903214e-06,5.754628928349396e-07,7.424930988970854e-07,8.132961090200886e-07,8.578673151025616e-07,5.34194233191994e-06,1.3572113753129261e-06,0.00010208772464521952,3.3245394802900744e-05,2.5631900597661827e-06,8.420977017230583e-06,4.213361855353755e-05,8.989095524052476e-05
4.256123123017723e-12,3.924576942187656e-12,5.685051995759035e-07,1.0213674922795409e-06,1.1711503047142417e-06,1.4266506805799144e-06,7.049999085620419e-07,1.210570382628425e-06,5.799006214124123e-07,1.2092465675893776e-06,8.873077557168278e-06,2.190959519263221e-06,3.61791712665736e-05,1.6778265153933997e-05,2.244023019197342e-06,1.4300625519171686e-05,2.9798453359236032e-05,0.00011370640155159044
2.7326243963524193e-12,5.348454959741664e-12,4.142548869657166e-07,7.996170914026888e-07,8.198573406926226e-07,1.3086348848764296e-06,1.0440973792115306e-06,1.003439545844208e-06,5.145413649290535e-07,9.15306168432912e-07,5.395831058433836e-06,1.0743511320067015e-06,7.55749206605033e-05,1.6399851326002285e-05,2.373264701994191e-06,9.945614761128302e-06,3.110036360803038e-05,0.00012534481579076401
2.60592483022104e-12,6.405766622227062e-12,5.265928922199593e-07,8.10049966162916e-07,8.634883612231713e-07,1.9999954349933508e-06,6.96504121680929e-07,1.4109493218001967e-06,1.2608747924745965e-06,6.463777148860469e-07,5.828763792254085e-06,1.0902265485352087e-06,9.207330381104212e-05,3.516593227462268e-05,5.444455368184506e-06,1.0721538587971886e-05,6.015315804293509e-05,0.00013962650443101796
5.352502754763047e-12,5.8477102558794205e-12,6.427456663161803e-07,6.597602312571311e-07,1.6991214706195916e-06,1.443021397089014e-06,1.2173850790771877e-06,6.16270820348972e-07,6.023037501198311e-07,5.439611278697944e-07,4.6285235469332595e-06,1.424053618041748e-06,7.970235239891048e-05,4.302639126820884e-05,4.6293668080653875e-06,7.1879451012041776e-06,3.321073842874399e-05,0.0001063540473200959
4.197026491543996e-12,3.736771574460795e-12,5.05401955991553e-07,6.540187544204254e-07,1.9051650043770392e-06,9.515125240912951e-07,7.000444597483326e-07,1.4451758431648122e-06,8.45059187979358e-07,5.269448878324894e-07,4.088841034191292e-06,1.4730401840328153e-06,6.393921489781822e-05,2.060584933069109e-05,5.28104295859697e-06,7.78837984456744e-06,6.563495990329528e-05,0.0001275064009641201
3.038217722882845e-12,3.3050343692035987e-12,8.383079096728408e-07,8.806053116899874e-07,8.71603390731673e-07,1.6333707157613586e-06,6.925775327498926e-07,1.216749420242414e-06,1.1752963465467586e-06,8.803797811702851e-07,6.50981504914471e-06,1.072702629172949e-06,4.582793032887613e-05,3.112765936201265e-05,3.7236617734342316e-06,8.351706621247104e-06,5.6907495063543554e-05,0.0001313535079200885
6.102480035961588e-12,6.141452667362646e-12,4.4233538702228536e-07,7.171835908692544e-07,1.3504924723530497e-06,1.048470641391135e-06,1.272260173391609e-06,1.3257763220561997e-06,1.2331031726659534e-06,7.572666122240061e-07,4.353875819059768e-06,1.9182637449452325e-06,7.227543713245402e-05,2.9845037320198645e-05,2.8801630844224093e-06,1.3649378672897129e-05,2.8210536327813947e-05,7.734460274521407e-05
3.018893483228344e-12,3.649862970928951e-12,9.167710413739432e-07,6.393868535022925e-07,9.4121314339327e-07,1.222454150802958e-06,9.213002316352505e-07,9.844337133813313e-07,6.486312581639743e-07,7.046184575449695e-07,5.56852946694032e-06,8.975109592618764e-07,8.384608739715392e-05,1.9841335484861925e-05,3.066421320079805e-06,6.196031276071026e-06,5.967113366277958e-05,0.00012038150526512086
6.281639375585919e-12,3.797339891620025e-12,3.8690380708992043e-07,7.783576058265991e-07,1.588915581300519e-06,1.1159169265147167e-06,6.022534165711095e-07,1.1944827708577339e-06,1.2355208294131538e-06,5.373496483591328e-07,5.5897364163901984e-06,1.774828690153047e-06,4.1290800451956236e-05,2.0777745649969108e-05,2.3912465183821678e-06,1.0759970644036482e-05,2.714703762076613e-05,6.767611149331686e-05
6.428136712634639e-12,4.519902282244678e-12,8.869790072066281e-07,1.1987014057248963e-06,1.6524592471424812e-06,9.119613311370221e-07,1.413963324374733e-06,7.452417392937741e-07,1.3932907579630082e-06,1.2143159338300297e-06,1.0660089265301486e-05,2.4803602971826236e-06,6.0990265780936556e-05,3.162736438900709e-05,2.140754405981138e-06,8.583705092834117e-06,5.362352159892139e-05,0.00010043827734432728
4.448665371622307e-12,7.480272209884057e-12,8.685349498671626e-07,6.960836269658324e-07,9.957403070282253e-07,9.388138016069173e-07,5.62518922566921e-07,9.940037667155584e-07,5.179708500987683e-07,1.440901334530236e-06,5.451019722551921e-06,1.1381183929646578e-06,5.3955225868646e-05,2.1414416379965502e-05,2.7122375306816485e-06,1.0882823394331204e-05,3.3855449994242396e-05,0.00012189034576875514
3.4796284480979888e-12,6.777014746384752e-12,6.454182297786152e-07,1.022603675979334e-06,1.183102346325864e-06,8.817003192496671e-07,1.0587888386699727e-06,6.784521178717193e-07,1.0958726371934112e-06,1.4572011890752576e-06,4.705135873212478e-06,1.1294250543221419e-06,9.388032317185529e-05,3.555964742292218e-05,2.681047135720371e-06,8.448664039819453e-06,3.484908510739354e-05,5.571950158740763e-05
3.039340802460829e-12,3.4132991760374613e-12,9.179650810781445e-07,7.7945920659789e-07,8.030279845582612e-07,9.256116681863367e-07,1.1062739780752762e-06,6.516787837715327e-07,6.567049023863837e-07,6.156337345760901e-07,6.402663232332647e-06,2.101505508633523e-06,9.792554770693351e-05,2.0114096892455943e-05,2.798491663177349e-06,8.556662463029385e-06,2.5876505920939447e-05,4.7524488572873e-05
